district,side,dow,date1,date2,date3,date4,date5,date6,date7,date8,date9
A,Odd,1st Wed,04-06,05-04,06-01,07-06,08-03,09-07,10-05,11-02,12-07
A,Even,1st Thu,04-07,05-05,06-02,07-07,08-04,09-01,10-06,11-03,12-01
B,Odd,1st Mon,04-04,05-02,06-06,06-29,08-01,08-29,10-03,11-07,12-05
B,Even,1st Tue,04-05,05-03,06-07,07-05,08-02,09-06,10-04,11-01,12-06
C,Odd,1st Fri,04-01,05-06,06-03,07-01,08-05,09-02,10-07,11-04,12-02
C,Even,2nd Mon,04-11,05-09,06-13,07-11,08-08,09-12,09-29,11-14,12-12
D,Odd,2nd Tue,04-12,05-10,06-14,07-12,08-09,09-13,10-11,11-08,12-13
D,Even,2nd Wed,04-13,05-11,06-08,07-13,08-10,09-14,10-12,11-09,12-14
E,Odd,2nd Thu,04-14,05-12,06-09,07-14,08-11,09-08,10-13,11-10,12-08
E,Even,2nd Fri,04-08,05-13,06-10,07-08,08-12,09-09,10-14,10-31,12-09
F,Odd,3rd Mon,04-29,05-16,06-20,07-18,08-15,09-19,10-17,11-21,12-19
F,Even,3rd Tue,04-19,05-17,06-21,07-19,08-16,09-20,10-18,11-15,12-20
G,Odd,3rd Wed,04-20,05-18,06-15,07-20,08-17,09-21,10-19,11-16,12-21
G,Even,3rd Thu,04-21,05-19,06-16,07-21,08-18,09-15,10-20,11-17,12-15
H,Odd,3rd Fri,04-15,05-20,06-17,07-15,08-19,09-16,10-21,11-18,12-16
H,Even,4th Mon,04-25,05-23,06-27,07-25,08-22,09-26,10-24,11-28,12-29
J,Odd,4th Tue,04-26,05-24,06-28,07-26,08-23,09-27,10-25,11-22,12-27
J,Even,4th Wed,04-27,05-25,06-22,07-27,08-24,09-28,10-26,11-23,12-28
K,Odd,4th Thu,04-28,05-26,06-23,07-28,08-25,09-22,10-27,11-29,12-22
K,Even,4th Fri,04-22,05-27,06-24,07-22,08-26,09-23,10-28,11-25,12-23
