partner_id,partner_name,name,address,lat,lon,head,id
4651,Parking Panda,32 Tremont St,32 Tremont St,42.3587246,-71.0599588,235.64,REWG__oC2KJMiZ8CW3txAA
1962,Parking Panda,Center Plaza Garage,75 Somerset St,42.3603669,-71.0614371,111.72,34_1UUb7rEGMLQxvS_VKXw
6191,Parking Panda,83 Devonshire St,83 Devonshire St,42.3579289,-71.057291,271.59,yp8UsvM9J7wVdb6AbY5dCg
3299,Parking Panda,33 Arch St,33 Arch St,42.3562654,-71.0583742,70.61,IDSF7aLfN6hh1GCnzOO2cw
3588,Parking Panda,One Post Office Square Garage,20 Pearl St,42.3565045,-71.0553251,54.01,ruFH06nau8Jg4kess9g0uA
3173,Parking Panda,1 Federal St,1 Federal St,42.356478,-71.0566985,303.9,H3m-Of_5Wrw0qYXfBT9Y5Q
3360,Parking Panda,100 High St,100 High St,42.3543696,-71.0549448,352.3,KIiHmWeFPC3tG9qlKSbu7w
5892,Parking Panda,Lafayette Garage,1 Ave de Lafayette,42.35345,-71.0613258,9.48,JAn4fVeKDru2NqwuBVLujQ
3172,Parking Panda,115 Purchase St,115 Purchase St,42.354871,-71.0526041,345.85,LWaH-XIPxbOw8jpUNQCFpQ
3362,Parking Panda,30 Rowes Wharf,30 Rowes Wharf,42.3566095,-71.0506792,345.07,-vTm0cIUWdes%2FVeN4VgWoDYI%2FAAAAAAAAJ64%2FnRQNTdxs8Bk
1961,Parking Panda,588 Commercial St,588 Commercial St,42.3678845,-71.0571636,117.67,3iNESd2X5zyulWDKfoQgew
6188,Parking Panda,510 Atlantic Ave,510 Atlantic Ave,42.3540815,-71.0529029,117.83,1BMP8P39QQmoxuejwqCNcA
4601,Parking Panda,Atlantic Wharf,280 Congress St,42.3531185,-71.0530483,42.15,Lx6WHc5jI-T5di0FRcAgfA
4515,Parking Panda,Boston Common Theater District Garage,47 Boylston St,42.3523207,-71.0639255,55.1,a5ZP0JqvzdoO53ET4w_QIw
3161,Parking Panda,2 Battery Wharf,394 Commercial St,42.3667482,-71.0517767,38.04,BG3FBkPpX_OP8VwNXuR9CQ
2368,Parking Panda,660 Washington St,660 Washington St,42.3517094,-71.0627662,46.07,VKG9KJHzhGJ8aY85XG2XBw
6023,Parking Panda,Charles Street Garage,144 Charles St,42.3600107,-71.070805,244.12,C2Gun16lrzC65h9dDB75bQ
6429,Parking Panda,45 Stuart St,45 Stuart St,42.350937,-71.0637446,314.62,sQeAqzsjOOxTq81j-V_9AA
4516,Parking Panda,W Hotel Valet,100 Stuart St,42.3509105,-71.066055,104.3,FhuvPQiLdAthETU5ndKXuA
4805,Parking Panda,CityPlace Garage,40 Charles St S,42.3513119,-71.0670145,66.04,KZEzMAa5NF07M9J_HURrDg
4804,Parking Panda,Constitution Center Parking Lot,1 Constitution Rd,42.3716733,-71.0601515,148.09,els_cvaLzwnqUcgqPOP7Cw
3461,Parking Panda,10 Necco St,10 Necco St,42.3490619,-71.0509093,264.33,LnRFS24Wyl7O0rjYP1XGjw
4090,Parking Panda,The Clarendon Garage (Valet),400 Stuart St,42.3491977,-71.0734423,182.03,f0wdJUo_qb4GStGcX6LXYQ
4594,Parking Panda,100 Clarendon,100 Clarendon St,42.3479961,-71.0738958,200.31,ZcjHN0XNyA-F_ZvkLIMWNg
5615,Parking Panda,Channel Center Garage,28 Richards St,42.3436708,-71.0513647,265.65,h9mQLE3kWt72fGl5-E8p7Q
4956,Parking Panda,131 Dartmouth St,131 Dartmouth St,42.3466719,-71.0756401,71.53,B0ZfkPOhLpKTGhPMYXVUhA
4243,Parking Panda,Copley Place Parking,100 Huntington Ave,42.3474972,-71.0788989,111.81,ZMnyYdIWwsHlZF3h9D9Bpw
4980,Parking Panda,Boston Marriott Copley Place,110 Huntington Ave,42.3470902,-71.0793912,88.21,sttGYtj9OhiD8HOadNLJJA
725,Parking Panda,Haviland Street Garage,5 Haviland St,42.3467696,-71.0880779,232.19,aU_UbByS8JEFY2u6z1iAtw
3490,Parking Panda,Christian Science Plaza Garage,235 Huntington Ave,42.3432195,-71.0845745,277.01,sOiK1kkT2EbGqS4qHq3VeA
726,Parking Panda,5 Maffa Way,5 Maffa Way,42.3847594,-71.0752176,104.41,6JEmb6oa6hnbhbUjcE7ouQ
5500,Parking Panda,819 Beacon St,819 Beacon St,42.3472453,-71.1016355,196.74,1BemhmltMwTSZoq4vmOzcw
1956,Parking Panda,Landmark Center,401 Park Dr,42.3438603,-71.103329,58.52,bdm7UV26Di4ksk0UHYRUkg
1959,Parking Panda,Longwood Towers--20 Chapel St,20 Chapel St,42.3415569,-71.1104211,285.26,odea6s2azyCH_Vuhvb_L4w
1955,Parking Panda,800 Huntington Ave,800 Huntington Ave,42.3328901,-71.1079273,141.28,npuu2DJlK2ddTfOYbeo0VQ
3167,Parking Panda,1350 Massachusetts Ave,1350 Massachusetts Ave,42.3723269,-71.1183559,311.49,tmxrEBvl7xBfwKI_7WeIhw
3168,Parking Panda,41 Church St,41 Church St,42.3743391,-71.1205459,319.5,CcUXn51z-gmmrDRd2ar6rQ
4602,Parking Panda,University Place Garage,63 University Rd,42.372534,-71.1236824,275.69,dN3V1T7d9H3Lgv35lpBiWQ
